page,title,content
about,Mombamomba an'ny rindrambaiko,"Ity rindrambaiko ity dia natao hanampiana ireo mpampiasa hianatra teny Hebreo amin'ny alalan'ny teny Malagasy. Natao hiasa tsy misy aterineto izy rehefa avy voasintona ny angon-drakitra."
contact,Fifandraisana,"Raha misy fanontaniana na soso-kevitra, afaka mifandray aminay amin'ny alalan'ny mailaka na media sosialy ianao."
support,Fanohanana,"Raha sendra olana ianao, dia jereo ny pejy fanampiana na mifandraisa amin'ny mpamolavola."
